"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007154","cell communication",3266,53,31.49,"3.9e-05"
"GO:0023052","signaling",3220,50,31.04,"0.00022"
"GO:0007165","signal transduction",3169,49,30.55,"0.00030"
"GO:0006284","base-excision repair",21,3,0.2,"0.00103"
"GO:0002224","toll-like receptor signaling pathway",92,5,0.89,"0.00196"
"GO:0002221","pattern recognition receptor signaling p...",93,5,0.9,"0.00205"
"GO:0051716","cellular response to stimulus",3651,51,35.2,"0.00236"
"GO:0050896","response to stimulus",3822,51,36.85,"0.00624"
"GO:0055085","transmembrane transport",1780,28,17.16,"0.00624"
"GO:0071526","semaphorin-plexin signaling pathway",43,3,0.41,"0.00818"
"GO:0006810","transport",3415,46,32.92,"0.00840"
"GO:0051234","establishment of localization",3434,46,33.1,"0.00930"
"GO:0001188","RNA polymerase I preinitiation complex a...",1,1,0.01,"0.00964"
"GO:0006353","DNA-templated transcription, termination",1,1,0.01,"0.00964"
"GO:0006369","termination of RNA polymerase II transcr...",1,1,0.01,"0.00964"
"GO:0097056","selenocysteinyl-tRNA(Sec) biosynthetic p...",1,1,0.01,"0.00964"
