"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0017065","single-strand selective uracil DNA N-gly...",6,2,0,"9.4e-06"
"GO:0004844","uracil DNA N-glycosylase activity",7,2,0.01,"1.3e-05"
"GO:0097506","deaminated base DNA N-glycosylase activi...",7,2,0.01,"1.3e-05"
"GO:0019104","DNA N-glycosylase activity",17,2,0.01,"8.5e-05"
"GO:0008812","choline dehydrogenase activity",2,1,0,"0.0016"
"GO:0016799","hydrolase activity, hydrolyzing N-glycos...",305,3,0.25,"0.0018"
"GO:0016798","hydrolase activity, acting on glycosyl b...",474,3,0.39,"0.0063"
"GO:0004888","transmembrane signaling receptor activit...",1683,5,1.38,"0.0092"
"GO:0038023","signaling receptor activity",1706,5,1.4,"0.0097"
"GO:0060089","molecular transducer activity",1706,5,1.4,"0.0097"
